board_name,width,height,area,pin_density,total_nets,successful,failed,success_rate,total_wirelength,via_count,avg_net_len
ACtoDCconverter.kicad_pcb,36.20000000000002,31.099999999999994,1125.8200000000004,0.01776482919116732,5,5,0,100.0,63,0,13.717368779375098
base-IO-8HP-teensy.kicad_pcb,39.30000000000001,100.0,3930.000000000001,0.03969465648854961,11,4,7,36.36363636363637,175,0,15.333286716263105
boostboard1.kicad_pcb,15.239999999999995,15.239999999999995,232.25759999999985,0.159305874167304,9,7,2,77.77777777777779,68,0,4.265209355478199
Chipkit_Shield_uC.kicad_pcb,68.57999999999998,53.34000000000002,3658.0572,0.0016402149206414813,2,2,0,100.0,97,0,33.31084224917764
CubeSatKit_StackBoard.kicad_pcb,90.16492000000001,95.87992,8645.005316406401,0.012030067789852007,0,0,0,0,0,0,0.0
d1_mini_shield.kicad_pcb,25.706219000000004,34.40173399999999,884.338508183746,0.01809261934421559,0,0,0,0,0,0,0.0
demofile.kicad_pcb,102.5,70.7,7246.75,0.0008279573601959499,3,3,0,100.0,131,0,38.103100871854444
ESP-Sensors.kicad_pcb,58.420000000000016,53.974999999999994,3153.2195000000006,0.028542256573004188,24,14,10,58.333333333333336,531,0,29.47374542886173
Explorer.kicad_pcb,100.0,100.0,10000.0,0.0756,153,100,53,65.359477124183,2441,0,11.364130668887812
GettingToBlinky.kicad_pcb,35.559999999999974,35.56000000000002,1264.5135999999998,0.016607176071495002,6,6,0,100.0,123,0,10.428805960850069
Jamma_rgbuntu_xbox360.kicad_pcb,125.72999999999999,77.03600000000002,9685.736280000001,0.024365726381309235,47,17,30,36.17021276595745,1690,0,46.30042448236382
Prototyping_PCB.kicad_pcb,160.0,32.58800000000001,5214.080000000002,0.023206394992021595,40,20,20,50.0,346,0,14.16636611883186
scart_duplicator.kicad_pcb,70.0,81.0,5670.0,0.02821869488536155,38,23,15,60.526315789473685,423,0,17.522965384644287
simple.kicad_pcb,43.0,11.000000000000002,473.00000000000006,0.012684989429175474,3,2,1,66.66666666666666,45,0,26.848803331008526
ups-12v.kicad_pcb,131.8,99.9,13166.820000000002,0.014809954111926796,43,31,12,72.09302325581395,1549,0,21.526404628429546
